hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,squawk,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
152006,RA-73734,RU,59.252884,45.343689,11590,259,798,0.0,5202,1461,AFL1461,SU1461,UNNT,OVB,UUEE,SVO,AFL,SU,A20N,1678199780,en-route
152030,RA-73776,RU,48.817932,44.391106,10675,328,820,0.0,2423,2827,AFL2827,SU2827,URMM,MRV,ULLI,LED,AFL,SU,A320,1678199779,en-route
152036,RA-73782,RU,32.374649,32.412361,11582,313,803,0.0,6111,427,AFL427,SU427,HESH,SSH,UUEE,SVO,AFL,SU,A333,1678199784,en-route
152038,RA-73784,RU,43.189041,47.696442,11277,61,951,0.0,7373,423,AFL423,SU423,HEGN,HRG,UUEE,SVO,AFL,SU,A333,1678199788,en-route
152043,RA-73795,RU,57.034103,62.335224,10058,90,875,0.0,5527,9027,SVR9027,U69027,USSS,SVX,UNNT,OVB,SVR,U6,A321,1678199104,en-route
152045,RA-73797,RU,45.407822,69.512131,10972,333,777,0.0,0242,2904,SVR2904,U62904,UAFO,OSS,USSS,SVX,SVR,U6,A321,1678198956,en-route
152049,RA-73801,RU,59.93959,36.848049,10972,271,822,0.0,0202,2152,SVR2152,U62152,UAFM,FRU,ULLI,LED,SVR,U6,A21N,1678199785,en-route
152071,RA-73841,RU,40.004562,66.704346,10363,325,787,0.0,2510,8446,SVR8446,U68446,UTDD,DYU,UUBW,ZIA,SVR,U6,A321,1678199763,en-route
152074,RA-73844,RU,43.517029,45.718262,10965,277,705,0.0,5507,321,SVR321,U6321,USSS,SVX,URSS,AER,SVR,U6,A321,1678199478,en-route
342211,EC-JDR,ES,38.079987,-5.357705,10668,217,824,0.0,2613,38TJ,IBS38TJ,IB3828,LEMD,MAD,GCLP,LPA,IBS,IB,A321,1678199787,en-route
342398,EC-JTR,ES,44.156891,-2.838177,10668,175,946,0.0,2033,9TE,VLG9TE,VY1240,EGFF,CWL,LEAL,ALC,VLG,VY,A320,1678199785,en-route
344344,EC-LUX,ES,34.019459,-24.793156,10668,248,788,0.0,3717,6673,IBE6673,IB6673,LEMD,MAD,SVMI,CCS,IBE,IB,A333,1678199725,en-route
344459,EC-LVR,ES,41.342903,-3.402453,10363,19,790,0.0,5117,7153,AEA7153,UX7153,LEMD,MAD,LEBB,BIO,AEA,UX,B738,1678199787,en-route
344501,EC-MBT,ES,29.907349,-12.399709,10972,45,835,0.3,6252,73UN,VLG73UN,VY3069,GCLP,LPA,LEMG,AGP,VLG,VY,A320,1678199786,en-route
344691,EC-MEQ,ES,53.494446,10.06638,10607,214,781,3.3,0746,70XX,VLG70XX,VY1815,EKCH,CPH,GCTS,TFS,VLG,VY,A320,1678199788,en-route
345052,EC-MEH,ES,33.80658,-10.86531,10965,35,844,0.0,4475,38RE,IBS38RE,IB3823,GCLP,LPA,LEMD,MAD,IBS,IB,A320,1678199776,en-route
345108,EC-MJB,ES,28.908428,-14.807416,7178,33,790,8.1,6221,3201,VLG3201,VY3201,GCLP,LPA,LEAL,ALC,VLG,VY,A320,1678199786,en-route
345109,EC-MKI,ES,35.370159,-20.584406,10363,253,766,0.0,2666,6461,IBE6461,IB6461,LEMD,MAD,SEGU,GYE,IBE,IB,A332,1678199784,en-route
345248,EC-MMH,ES,37.074554,-6.385745,10675,215,837,0.0,7667,8LG,VLG8LG,VY3134,LFPO,ORY,GCTS,TFS,VLG,VY,A321,1678199786,en-route
345344,EC-MOL,ES,27.922874,-15.392584,0,202,16,0.0,6365,7ZW,RSC7ZW,NT518,GCLP,LPA,GCRR,ACE,IBB,NT,AT76,1678199774,en-route
345618,EC-MUB,ES,33.894012,24.564589,11277,137,883,0.0,1723,5034,LAV5034,AP5034,LIRF,FCO,,,LAV,AP,B738,1678199325,en-route
345682,EC-MUA,ES,7.375351,1.290335,12192,312,859,0.0,5202,9826,PVG9826,P69826,DNMM,LOS,GCLP,LPA,PVG,P6,B772,1678199784,en-route
345691,EC-MXU,ES,57.095062,13.464543,10972,224,790,0.0,0733,33VB,IBE33VB,IB3315,ESSA,ARN,LEMD,MAD,IBE,IB,A20N,1678199787,en-route
346045,EC-MYA,ES,41.739944,-29.936295,10660,247,740,0.0,2617,6339,IBE6339,IB6339,LEMD,MAD,MPTO,PTY,IBE,IB,A332,1678199725,en-route
346047,EC-MXP,ES,42.001648,-4.974247,10668,231,761,-0.3,2673,63ML,VLG63ML,VY2700,LEBB,BIO,LPPT,LIS,VLG,VY,A320,1678199785,en-route
346088,EC-MYB,ES,54.644737,8.917569,10668,60,905,0.3,2315,3WW,VLG3WW,VY1814,GCTS,TFS,EKCH,CPH,VLG,VY,A320,1678199788,en-route
346146,EC-NBE,ES,43.851822,-19.593819,11887,286,744,0.0,2645,6165,IBE6165,IB6165,LEMD,MAD,KBOS,BOS,IBE,IB,A359,1678199725,en-route
346181,EC-NBX,ES,33.764198,30.837307,12184,301,824,-0.3,4130,1302,AEA1302,UX1302,LLBG,TLV,LEMD,MAD,AEA,UX,B789,1678199787,en-route
346206,EC-NCK,ES,-38.611824,151.916382,11894,100,1048,-0.3,1411,174,ANZ174,NZ174,YPPH,PER,NZAA,AKL,PLM,NZ,A332,1678199779,en-route
