AircraftCode;AirlineEquipCode;Names.Name.@LanguageCode;Names.Name.$
100;F100;EN;Fokker 100
141;B461;EN;BAE Systems 146-100 Passenger
142;B462;EN;BAE Systems 146-200 Passenger
143;B463;EN;BAE Systems 146-300 Passenger
14X;B461;EN;BAE Systems 146-100 Freighter
14Y;B462;EN;BAE Systems 146-200 Freighter
14Z;B463;EN;BAE Systems 146-300 Freighter
221;BCS1;EN;Airbus A220-100
223;BCS3;EN;Airbus A220-300
290;E290;EN;E190-E2
295;E295;EN;E195-E2
312;A310;EN;Airbus A310-200 Passenger
313;A310;EN;Airbus A310-300 Passenger
318;A318;EN;Airbus A318
319;A319;EN;Airbus A319
31A;A318;EN;Airbus A318 (sharklets)
31B;A319;EN;Airbus A319 (sharklets)
31N;A19N;EN;Airbus A139neo
31X;A310;EN;Airbus A310-200 Freighter
31Y;A310;EN;Airbus A310-300 Freighter
320;A320;EN;Airbus A320
321;A321;EN;Airbus A321
32A;A320;EN;Airbus A320 (sharklets)
32B;A321;EN;Airbus A321 (sharklets)
32F;A320;EN;Airbus A320 Freighter
32N;A20N;EN;Airbus A320neo
32Q;A21N;EN;Airbus A321neo
32X;A321;EN;Airbus A321 Freighter
332;A332;EN;Airbus A330-200
333;A333;EN;Airbus A330-300
33X;A332;EN;Airbus A330-200 Freighter
342;A342;EN;Airbus A340-200
343;A343;EN;Airbus A340-300
345;A345;EN;Airbus A340-500
346;A346;EN;Airbus A340-600
351;ZZZZ;EN;Airbus A350-1000
358;ZZZZ;EN;Airbus A350-800
359;A359;EN;Airbus A350-900
388;A388;EN;Airbus A380-800 Passenger
38F;A388;EN;Airbus A380-800F Freighter
703;B703;EN;Boeing 707-320B / 320C Passenger
70F;B703;EN;Boeing 707-320B / 320C Freighter
70M;B703;EN;Boeing 707-320B / 320C Mixed Configuration
717;B712;EN;Boeing 717-200
721;B721;EN;Boeing 727-100 Passenger
722;B722;EN;Boeing 727-200 Passenger
72B;B721;EN;Boeing 727-100 Mixed Configuration
72C;B722;EN;Boeing 727-200 Mixed Configuration
72W;B722;EN;Boeing 727-200 (winglets) Passenger
72X;B721;EN;Boeing 727-100 Freighter
72Y;B722;EN;Boeing 727-200 Freighter
731;B731;EN;Boeing 737-100 Passenger
732;B732;EN;Boeing 737-200 Passenger
733;B733;EN;Boeing 737-300 Passenger
734;B734;EN;Boeing 737-400 Passenger
735;B735;EN;Boeing 737-500 Passenger
736;B736;EN;Boeing 737-600 Passenger
738;B738;EN;Boeing 737-800 Passenger
739;B739;EN;Boeing 737-900 Passenger
73C;B733;EN;Boeing 737-300 (winglets) Passenger
73E;B735;EN;Boeing 737-500 (winglets) Passenger
73G;B737;EN;Boeing 737-700 Passenger
73H;B738;EN;Boeing 737-800 (winglets) Passenger/BBJ2
73J;B739;EN;Boeing 737-900 (winglets) Passenger/BBJ3
73L;B732;EN;Boeing 737-200 Mixed Configuration
73N;B733;EN;Boeing 737-300 Mixed Configuration
73P;B734;EN;Boeing 737-400 Freighter
73Q;B734;EN;Boeing 737-400 Mixed Configuration
73R;B737;EN;Boeing 737-700 Mixed Configuration/BBJC
73S;B737;EN;Boeing 737-700 Freighter
73W;B737;EN;Boeing 737-700 (winglets) Passenger/BBJ1
73X;B732;EN;Boeing 737-200 Freighter
73Y;B733;EN;Boeing 737-300 Freighter
741;B741;EN;Boeing 747-100 Passenger
742;B742;EN;Boeing 747-200 Passenger
743;B743;EN;Boeing 747-300 / 747-100/200 SUD Passenger
744;B744;EN;Boeing 747-400 Passenger
748;;;
748;;;
74B;B744;EN;Boeing 747-400 Swingtail Freighter
74C;B742;EN;Boeing 747-200 Mixed Configuration
74D;B743;EN;Boeing 747-300 / 747-200 SUD Mixed Configuration
74E;B744;EN;Boeing 747-400 Mixed Configuration
74H;B748;EN;Boeing 747-8 Passenger
74J;B74D;EN;Boeing 747-400 (Domestic) Passenger
74L;B74S;EN;Boeing 747SP Passenger
