AirlineID;AirlineID_ICAO;Names.Name.@LanguageCode;Names.Name.$
0A;GNT;EN;Amber Air
0B;BMS;EN;Blue Air
0D;DWT;EN;Darwin Airline Sa
0J;PJZ;EN;Premium Jet Ag
0K;KRT;EN;Aircompany Kokshetau
0P;PPC;EN;Palau Asia Pacific Air Inc.
0S;SEJ;EN;Spicejet
0V;VFC;EN;Vasco
0W;WCR;EN;West Caribbean Costa Rica S.A.
1A;AGT;EN;Amadeus Global Travel Distribution S.A.
1I;EJA;EN;Netjets
1L;OSY;EN;Open Skies Consultative Commission (Oscc)
1P;WSP;EN;Worldspan (Atlanta_ Ga)
1S;SBG;EN;Sabre_ Inc. (Southlake_ Tx)
1X;;EN;Branson Airexpress
2A;;EN;Deutsche Bahn AG
2B;AWT;EN;Albawings
2C;;EN;Sncf
2D;DYA;EN;Dynamic International Airways
2E;;EN;Smokey Bay Air
2F;FAV;EN;Fair Aviation
2G;AGU;EN;Angara Airlines
2I;SRU;EN;Star Peru
2J;VBW;EN;Air Burkina
2K;GLG;EN;Avianca Ecuador
2L;OAW;EN;Helvetic Airways
2M;MYD;EN;Maya Island Air
2N;NTJ;EN;Nextjet
2O;;EN;Island Air Service
2P;GAP;EN;Pal Express
2Q;SNC;EN;Air Cargo Carriers
2R;;EN;Via Rail Canada
2S;;EN;Air Carnival
2T;TUX;EN;Tulpar Air Service
2U;;EN;Sun Dor International Airlines
2V;;EN;Amtrak
2W;;EN;Multiple Solutions
2Y;MYU;EN;My Indo Airlines
2Z;PTB;EN;Passaredo Transportes Aereos
3A;;EN;Chu Kong Passenger Transport Co Ltd.
3B;NTB;EN;Binter Cabo Verde
3C;CVA;EN;Air Chathams
3D;DNM;EN;Denim Air
3E;WBR;EN;Air Choice One
3F;;EN;Pacific Airways Inc
3G;CXM;EN;Asia Cargo Express
3H;AIE;EN;Air Inuit
3J;JBW;EN;Jubba Airways
3K;JSA;EN;Jetstar Asia
3L;ISK;EN;Intersky Luftfahrt Gmbh
3M;SIL;EN;Silver Airways
3N;URG;EN;Air Urga
3O;MAC;EN;Air Arabia Maroc
3P;;EN;Air Philip
3Q;;EN;Kc International Airlines
3R;RGR;EN;Avior Regional
3S;GUY;EN;Air Guyane Express
3T;TRQ;EN;Tarco Air
3U;CSC;EN;Sichuan Airlines
3V;TAY;EN;Asl Airlines Belgium
3W;MWI;EN;Malawian Airlines
3X;;EN;Premier Trans Aire
3Y;;EN;Baseops International Inc.
3Z;TVP;EN;Travel Service Poland
4A;DYN;EN;Aerodynamics
4B;TUP;EN;Aviastar-Tu
4C;ARE;EN;Latam Airlines Colombia
4D;;EN;Air Sinai
4E;;EN;Stabo Air
