CityCode;CountryCode;UtcOffset;TimeZoneId;Names.Name.@LanguageCode;Names.Name.$;Airports.AirportCode
AAA;PF;-10:00;Pacific/Tahiti;EN;Anaa;AAA
AAB;AU;+10:00;Australia/Brisbane;EN;Arrabury;AAB
AAC;EG;+02:00;Africa/Cairo;EN;El Arish;AAC
AAD;SO;+03:00;Africa/Mogadishu;EN;Adado;AAD
AAE;DZ;+01:00;Africa/Algiers;EN;Annaba;AAE
AAF;US;-05:00;America/New_York;EN;Apalachicola;AAF
AAG;BR;-03:00;America/Araguaina;EN;Arapoti;AAG
AAH;DE;+01:00;Europe/Berlin;EN;Aachen;['AAH', 'AAW', 'XHJ']
AAI;BR;-03:00;America/Araguaina;EN;Arraias;AAI
AAJ;SR;-03:00;America/Paramaribo;EN;Awaradam;AAJ
AAK;KI;+12:00;Pacific/Tarawa;EN;Aranuka;AAK
AAL;DK;+01:00;Europe/Copenhagen;EN;Aalborg;['AAL', 'ZTG']
AAM;ZA;+02:00;Africa/Johannesburg;EN;Mala Mala;AAM
AAN;AE;+04:00;Asia/Dubai;EN;Al Ain;['AAN', 'ZVH']
AAO;VE;-04:00;America/Caracas;EN;Anaco;AAO
AAQ;RU;+03:00;Europe/Moscow;EN;Anapa;AAQ
AAR;DK;+01:00;Europe/Copenhagen;EN;Aarhus;['AAR', 'ZBU', 'ZID', 'ZJH']
AAS;ID;+09:00;Asia/Jayapura;EN;Apalapsili;AAS
AAT;CN;+08:00;Asia/Shanghai;EN;Altay;AAT
AAU;WS;+13:00;Pacific/Apia;EN;Asau;AAU
AAV;PH;+08:00;Asia/Manila;EN;Surallah;AAV
AAW;PK;+05:00;Asia/Karachi;EN;Abbottabad;
AAX;BR;-03:00;America/Araguaina;EN;Araxa;AAX
AAY;YE;+03:00;Asia/Aden;EN;Al Ghaydah;AAY
AAZ;GT;-06:00;America/Guatemala;EN;Quetzaltenango;AAZ
ABA;RU;+07:00;Asia/Tomsk;EN;Abakan;ABA
ABB;NG;+01:00;Africa/Lagos;EN;Asaba;ABB
ABC;ES;+01:00;Europe/Madrid;EN;Albacete;['ABC', 'EEM', 'XJJ']
ABD;IR;+03:30;Asia/Tehran;EN;Abadan;ABD
ABE;US;-05:00;America/New_York;EN;Allentown/Bethlehem/Easton;ABE
ABF;KI;+12:00;Pacific/Tarawa;EN;Abaiang;ABF
ABG;AU;+10:00;Australia/Brisbane;EN;Abingdon Downs;ABG
ABH;AU;+10:00;Australia/Brisbane;EN;Alpha;ABH
ABI;US;-06:00;America/Chicago;EN;Abilene;['ABI', 'DYS']
ABJ;CI;+00:00;Africa/Abidjan;EN;Abidjan;ABJ
ABK;ET;+03:00;Africa/Addis_Ababa;EN;Kebri Dehar;ABK
ABL;US;-09:00;America/Anchorage;EN;Ambler;ABL
ABM;AU;+10:00;Australia/Brisbane;EN;Bamaga;ABM
ABN;SR;-03:00;America/Paramaribo;EN;Albina;ABN
ABO;CI;+00:00;Africa/Abidjan;EN;Aboisso;ABO
ABP;PG;+10:00;Pacific/Port_Moresby;EN;Atkamba;ABP
ABQ;US;-07:00;America/Denver;EN;Albuquerque;ABQ
ABR;US;-06:00;America/Chicago;EN;Aberdeen;ABR
ABS;EG;+02:00;Africa/Cairo;EN;Abu Simbel;ABS
ABT;SA;+03:00;Asia/Riyadh;EN;Al Baha;ABT
ABU;ID;+08:00;Asia/Makassar;EN;Atambua;ABU
ABV;NG;+01:00;Africa/Lagos;EN;Abuja;ABV
ABW;PG;+10:00;Pacific/Port_Moresby;EN;Abau;ABW
ABX;AU;+10:00;Australia/Sydney;EN;Albury;ABX
ABY;US;-05:00;America/New_York;EN;Albany;['ABY', 'NAB']
ABZ;GB;+00:00;Europe/London;EN;Aberdeen;['ABZ', 'ZXA']
ACA;MX;-06:00;America/Mexico_City;EN;Acapulco;ACA
ACB;US;-05:00;America/New_York;EN;Bellaire;ACB
ACC;GH;+00:00;Africa/Accra;EN;Accra;ACC
ACD;CO;-05:00;America/Bogota;EN;Acandi;ACD
ACE;ES;+00:00;Atlantic/Canary;EN;Lanzarote;ACE
ACF;CN;+08:00;Asia/Shanghai;EN;Alaer;ACF
ACH;CH;+01:00;Europe/Zurich;EN;Altenrhein;ACH
ACI;GB;+00:00;Europe/London;EN;Alderney;ACI
ACJ;LK;+05:30;Asia/Colombo;EN;Anuradhapura;ACJ
ACK;US;-05:00;America/New_York;EN;Nantucket;ACK
ACL;CO;-05:00;America/Bogota;EN;Aguaclara;ACL
ACM;CO;-05:00;America/Bogota;EN;Arica;ACM
ACN;MX;-06:00;America/Matamoros;EN;Ciudad Acuna;ACN
ACO;CH;+01:00;Europe/Zurich;EN;Ascona;ACO
ACP;IR;+03:30;Asia/Tehran;EN;Maragheh;ACP
ACQ;ES;+01:00;Europe/Madrid;EN;Estacion De Alicante;
ACR;CO;-05:00;America/Bogota;EN;Araracuara;ACR
ACS;RU;+07:00;Asia/Tomsk;EN;Achinsk;ACS
ACT;US;-06:00;America/Chicago;EN;Waco;['ACT', 'CNW']
ACU;PA;-05:00;America/Panama;EN;Achutupo;ACU
ACV;US;-08:00;America/Los_Angeles;EN;Arcata/Eureka;['ACV', 'EKA', 'NLN']
ACX;CN;+08:00;Asia/Shanghai;EN;Xingyi;ACX
ACY;US;-05:00;America/New_York;EN;Atlantic City;['ACY', 'AIY', 'JSL', 'ZRA']
ACZ;IR;+03:30;Asia/Tehran;EN;Zabol;ACZ
ADA;TR;+03:00;Europe/Istanbul;EN;Adana;['ADA', 'UAB']
ADC;PG;+10:00;Pacific/Port_Moresby;EN;Andakombe;ADC
ADD;ET;+03:00;Africa/Addis_Ababa;EN;Addis Ababa;ADD
ADE;YE;+03:00;Asia/Aden;EN;Aden;ADE
ADF;TR;+03:00;Europe/Istanbul;EN;Adiyaman;ADF
ADG;US;-05:00;America/New_York;EN;Adrian;ADG
ADH;RU;+09:00;Asia/Yakutsk;EN;Aldan;ADH
ADI;NA;+02:00;Africa/Windhoek;EN;Arandis;ADI
ADK;US;-10:00;America/Adak;EN;Adak Island;ADK
ADL;AU;+09:30;Australia/Adelaide;EN;Adelaide;['ADL', 'XHX']
ADM;US;-06:00;America/Chicago;EN;Ardmore;['ADM', 'AHD']
ADN;CO;-05:00;America/Bogota;EN;Andes;ADN
ADO;AU;+09:30;Australia/Adelaide;EN;Andamooka;ADO
ADP;LK;+05:30;Asia/Colombo;EN;Ampara;['ADP', 'AFK']
ADQ;US;-09:00;America/Anchorage;EN;Kodiak;['ADQ', 'KDK', 'WDY']
ADR;US;-05:00;America/New_York;EN;Andrews;ADR
ADT;US;-06:00;America/Chicago;EN;Ada;ADT
ADU;IR;+03:30;Asia/Tehran;EN;Ardabil;ADU
ADV;SD;+02:00;Africa/Khartoum;EN;Addeain;ADV
ADW;US;-05:00;America/New_York;EN;Camp Springs;['ADW', 'NSF']
ADX;GB;+00:00;Europe/London;EN;St Andrews;ADX
ADY;ZA;+02:00;Africa/Johannesburg;EN;Alldays;ADY
ADZ;CO;-05:00;America/Bogota;EN;San Andres Island;ADZ
AEA;KI;+12:00;Pacific/Tarawa;EN;Abemama;AEA
AEB;CN;+08:00;Asia/Shanghai;EN;Baise;AEB
AED;US;-09:00;America/Anchorage;EN;Aleneva;AED
AEE;SS;+02:00;Africa/Juba;EN;Adareil;AEE
AEG;ID;+07:00;Asia/Pontianak;EN;Aek Godang;AEG
AEH;TD;+01:00;Africa/Ndjamena;EN;Abeche;AEH
AEI;ES;+01:00;Europe/Madrid;EN;Algeciras;['AEI', 'AXI']
AEJ;KW;+03:00;Asia/Kuwait;EN;Ahmed Al Jaber;AEJ
AEK;PG;+10:00;Pacific/Port_Moresby;EN;Aseki;AEK
AEL;US;-06:00;America/Chicago;EN;Albert Lea;AEL
AEM;RU;+10:00;Asia/Vladivostok;EN;Amgu;AEM
AEO;MR;+00:00;Africa/Nouakchott;EN;Aioun El Atrouss;AEO
AEQ;CN;+08:00;Asia/Shanghai;EN;Chifeng;AEQ
AER;RU;+03:00;Europe/Moscow;EN;Sochi;AER
AES;NO;+01:00;Europe/Oslo;EN;Alesund;AES
AET;US;-09:00;America/Anchorage;EN;Allakaket;AET
AEU;IR;+03:30;Asia/Tehran;EN;Abu Musa Island;AEU
AEX;US;-06:00;America/Chicago;EN;Alexandria;['AEX', 'ESF']
AEY;IS;+00:00;Atlantic/Reykjavik;EN;Akureyri;AEY
AFA;AR;-03:00;America/Argentina/Buenos_Aires;EN;San Rafael;AFA
AFD;ZA;+02:00;Africa/Johannesburg;EN;Port Alfred;AFD
AFI;CO;-05:00;America/Bogota;EN;Amalfi;AFI
AFL;BR;-04:00;America/Porto_Velho;EN;Alta Floresta;AFL
AFN;US;-05:00;America/New_York;EN;Jaffrey;AFN
AFO;US;-07:00;America/Denver;EN;Afton;AFO
AFR;PG;+10:00;Pacific/Port_Moresby;EN;Afore;AFR
AFS;UZ;+05:00;Asia/Tashkent;EN;Zarafshan;AFS
AFT;SB;+11:00;Pacific/Guadalcanal;EN;Afutara;AFT
AFU;QA;+03:00;Asia/Qatar;EN;Al Udeid;AFU
AFY;TR;+03:00;Europe/Istanbul;EN;Afyon;AFY
AFZ;IR;+03:30;Asia/Tehran;EN;Sabzevar;AFZ
AGA;MA;+01:00;Africa/Casablanca;EN;Agadir;AGA
AGD;ID;+09:00;Asia/Jayapura;EN;Anggi;AGD
AGE;DE;+01:00;Europe/Berlin;EN;Wangerooge;AGE
AGF;FR;+01:00;Europe/Paris;EN;Agen;AGF
AGG;PG;+10:00;Pacific/Port_Moresby;EN;Angoram;AGG
AGH;SE;+01:00;Europe/Stockholm;EN;Angelholm/Helsingborg;['AGH', 'JHE', 'XYH', 'XYQ']
AGI;SR;-03:00;America/Paramaribo;EN;Wageningen;AGI
AGJ;JP;+09:00;Asia/Tokyo;EN;Aguni;AGJ
AGK;PG;+10:00;Pacific/Port_Moresby;EN;Kagua;AGK
AGL;PG;+10:00;Pacific/Port_Moresby;EN;Wanigela;AGL
AGM;GL;-03:00;America/Godthab;EN;Tasiilaq;AGM
AGN;US;-09:00;America/Anchorage;EN;Angoon;AGN
AGO;US;-06:00;America/Chicago;EN;Magnolia;AGO
AGP;ES;+01:00;Europe/Madrid;EN;Malaga;['AGP', 'YJM']
AGQ;GR;+02:00;Europe/Athens;EN;Agrinion;AGQ
AGR;IN;+05:30;Asia/Kolkata;EN;Agra;AGR
AGS;US;-05:00;America/New_York;EN;Augusta;['AGS', 'DNL']
AGT;PY;-04:00;America/Asuncion;EN;Ciudad Del Este;AGT
AGU;MX;-06:00;America/Mexico_City;EN;Aguascalientes;AGU
AGV;VE;-04:00;America/Caracas;EN;Acarigua;AGV
AGW;AU;+10:00;Australia/Brisbane;EN;Agnew;AGW
AGX;IN;+05:30;Asia/Kolkata;EN;Agatti Island;AGX
AGZ;ZA;+02:00;Africa/Johannesburg;EN;Aggeneys;AGZ
AHB;SA;+03:00;Asia/Riyadh;EN;Abha;AHB
AHC;US;-08:00;America/Los_Angeles;EN;Herlong;AHC
AHE;PF;-10:00;Pacific/Tahiti;EN;Ahe;AHE
AHF;US;-06:00;America/Chicago;EN;Arapahoe;AHF
AHH;US;-06:00;America/Chicago;EN;Amery;AHH
AHI;ID;+09:00;Asia/Jayapura;EN;Amahai;AHI
AHJ;CN;+08:00;Asia/Shanghai;EN;Aba Hongyuan;AHJ
AHL;GY;-04:00;America/Guyana;EN;Aishalton;AHL
AHM;US;-08:00;America/Los_Angeles;EN;Ashland;AHM
AHN;US;-05:00;America/New_York;EN;Athens;AHN
AHO;IT;+01:00;Europe/Rome;EN;Alghero;AHO
