CityCode;CountryCode;UtcOffset;TimeZoneId;CityName
AAA;PF;-10:00;Pacific/Tahiti;Anaa
AAB;AU;+10:00;Australia/Brisbane;Arrabury
AAC;EG;+02:00;Africa/Cairo;El Arish
AAD;SO;+03:00;Africa/Mogadishu;Adado
AAE;DZ;+01:00;Africa/Algiers;Annaba
AAF;US;-05:00;America/New_York;Apalachicola
AAG;BR;-03:00;America/Araguaina;Arapoti
AAH;DE;+01:00;Europe/Berlin;Aachen
AAI;BR;-03:00;America/Araguaina;Arraias
AAJ;SR;-03:00;America/Paramaribo;Awaradam
AAK;KI;+12:00;Pacific/Tarawa;Aranuka
AAL;DK;+01:00;Europe/Copenhagen;Aalborg
AAM;ZA;+02:00;Africa/Johannesburg;Mala Mala
AAN;AE;+04:00;Asia/Dubai;Al Ain
AAO;VE;-04:00;America/Caracas;Anaco
AAQ;RU;+03:00;Europe/Moscow;Anapa
AAR;DK;+01:00;Europe/Copenhagen;Aarhus
AAS;ID;+09:00;Asia/Jayapura;Apalapsili
AAT;CN;+08:00;Asia/Shanghai;Altay
AAU;WS;+13:00;Pacific/Apia;Asau
AAV;PH;+08:00;Asia/Manila;Surallah
AAW;PK;+05:00;Asia/Karachi;Abbottabad
AAX;BR;-03:00;America/Araguaina;Araxa
AAY;YE;+03:00;Asia/Aden;Al Ghaydah
AAZ;GT;-06:00;America/Guatemala;Quetzaltenango
ABA;RU;+07:00;Asia/Tomsk;Abakan
ABB;NG;+01:00;Africa/Lagos;Asaba
ABC;ES;+01:00;Europe/Madrid;Albacete
ABD;IR;+03:30;Asia/Tehran;Abadan
ABE;US;-05:00;America/New_York;Allentown/Bethlehem/Easton
ABF;KI;+12:00;Pacific/Tarawa;Abaiang
ABG;AU;+10:00;Australia/Brisbane;Abingdon Downs
ABH;AU;+10:00;Australia/Brisbane;Alpha
ABI;US;-06:00;America/Chicago;Abilene
ABJ;CI;+00:00;Africa/Abidjan;Abidjan
ABK;ET;+03:00;Africa/Addis_Ababa;Kebri Dehar
ABL;US;-09:00;America/Anchorage;Ambler
ABM;AU;+10:00;Australia/Brisbane;Bamaga
ABN;SR;-03:00;America/Paramaribo;Albina
ABO;CI;+00:00;Africa/Abidjan;Aboisso
ABP;PG;+10:00;Pacific/Port_Moresby;Atkamba
ABQ;US;-07:00;America/Denver;Albuquerque
ABR;US;-06:00;America/Chicago;Aberdeen
ABS;EG;+02:00;Africa/Cairo;Abu Simbel
ABT;SA;+03:00;Asia/Riyadh;Al Baha
ABU;ID;+08:00;Asia/Makassar;Atambua
ABV;NG;+01:00;Africa/Lagos;Abuja
ABW;PG;+10:00;Pacific/Port_Moresby;Abau
ABX;AU;+10:00;Australia/Sydney;Albury
ABY;US;-05:00;America/New_York;Albany
ABZ;GB;+00:00;Europe/London;Aberdeen
ACA;MX;-06:00;America/Mexico_City;Acapulco
ACB;US;-05:00;America/New_York;Bellaire
ACC;GH;+00:00;Africa/Accra;Accra
ACD;CO;-05:00;America/Bogota;Acandi
ACE;ES;+00:00;Atlantic/Canary;Lanzarote
ACF;CN;+08:00;Asia/Shanghai;Alaer
ACH;CH;+01:00;Europe/Zurich;Altenrhein
ACI;GB;+00:00;Europe/London;Alderney
ACJ;LK;+05:30;Asia/Colombo;Anuradhapura
ACK;US;-05:00;America/New_York;Nantucket
