Departure.AirportCode;Departure.Scheduled.Date;Departure.Scheduled.Time;Departure.Terminal.Name;Departure.Status.Code;Departure.Status.Description;Arrival.AirportCode;Arrival.Scheduled.Date;Arrival.Scheduled.Time;Arrival.Terminal.Name;Arrival.Status.Code;Arrival.Status.Description;MarketingCarrierList.MarketingCarrier;OperatingCarrier.AirlineID;OperatingCarrier.FlightNumber;Equipment.AircraftCode;Status.Code;Status.Description;Departure.Actual.Date;Departure.Actual.Time;Departure.Terminal.Gate;Arrival.Actual.Date;Arrival.Actual.Time;Arrival.Terminal.Gate;Arrival.Estimated.Date;Arrival.Estimated.Time;MarketingCarrierList.MarketingCarrier.AirlineID;MarketingCarrierList.MarketingCarrier.FlightNumber;Departure.Estimated.Date;Departure.Estimated.Time
BER;2023-03-26;06:20;1;NO;No Status;MUC;2023-03-26;07:30;2;NO;No Status;[{'AirlineID': 'A3', 'FlightNumber': '1451'}, {'AirlineID': 'OU', 'FlightNumber': '5431'}, {'AirlineID': 'TP', 'FlightNumber': '7725'}];LH;1961;32N;CD;Flight Cancelled;;;;;;;;;;;;
BER;2023-03-26;06:45;1;DP;Flight Departed;FRA;2023-03-26;07:55;1;LD;Flight Landed;;LH;173;32Q;LD;Flight Landed;2023-03-26;06:49;B06;2023-03-26;08:12;A16;;;;;;
BER;2023-03-26;06:55;1;DP;Flight Departed;BRU;2023-03-26;08:20;;LD;Flight Landed;[{'AirlineID': 'EY', 'FlightNumber': '7227'}, {'AirlineID': 'HU', 'FlightNumber': '8552'}, {'AirlineID': 'TP', 'FlightNumber': '7491'}, {'AirlineID': 'UA', 'FlightNumber': '9920'}];SN;2592;319;LD;Flight Landed;2023-03-26;07:09;B19;2023-03-26;08:14;;;;;;;
BER;2023-03-26;07:00;1;DP;Flight Departed;ZRH;2023-03-26;08:25;;LD;Flight Landed;;LX;963;320;LD;Flight Landed;2023-03-26;07:08;B10;2023-03-26;08:38;;;;;;;
BER;2023-03-26;07:00;1;DP;Flight Departed;VIE;2023-03-26;08:15;3;LD;Flight Landed;;OS;240;320;LD;Flight Landed;2023-03-26;07:03;A02;2023-03-26;08:07;;;;;;;
BER;2023-03-26;07:15;1;DP;Flight Departed;ACE;2023-03-26;11:15;;LD;Flight Landed;;EW;8370;320;LD;Flight Landed;2023-03-26;07:33;A37;2023-03-26;11:41;;;;;;;
BER;2023-03-26;07:15;1;DP;Flight Departed;FRA;2023-03-26;08:25;1;LD;Flight Landed;[{'AirlineID': 'AC', 'FlightNumber': '9636'}, {'AirlineID': 'OU', 'FlightNumber': '5475'}, {'AirlineID': 'TP', 'FlightNumber': '7701'}];LH;045;321;LD;Flight Landed;2023-03-26;07:17;B03;2023-03-26;08:22;Area A;;;;;;
BER;2023-03-26;07:30;1;DP;Flight Departed;LPA;2023-03-26;11:40;;DL;Flight Delayed;;X8;8186;320;DL;Flight Delayed;2023-03-26;08:55;A25;2023-03-26;12:58;;2023-03-26;12:58;;;;
BER;2023-03-26;07:35;1;DP;Flight Departed;LPA;2023-03-26;11:45;;LD;Flight Landed;;EW;5402;32A;LD;Flight Landed;2023-03-26;07:44;A38;2023-03-26;12:02;;;;;;;
BER;2023-03-26;07:35;1;DP;Flight Departed;TFS;2023-03-26;11:55;;DL;Flight Delayed;;EW;8290;320;DL;Flight Delayed;2023-03-26;07:52;B01;2023-03-26;12:25;;2023-03-26;12:25;;;;
