icao24;callsign;origin_country;time_position;last_contact;longitude;latitude;baro_altitude;on_ground;velocity;true_track;vertical_rate;sensors;geo_altitude;squawk;spi;position_source
4b1814;SWR36A  ;Switzerland;1677688588.0;1677688588;8.5448;47.4584;480.06;False;80.16;275.89;13.66;;548.64;3074;False;0
4b1815;SWR262C ;Switzerland;1677688588.0;1677688588;1.4217;43.697;10980.42;False;230.47;53.26;0.0;;10812.78;1000;False;0
a21b74;MLN235  ;United States;1677688588.0;1677688588;-74.3075;40.8121;1303.02;False;129.57;249.55;9.1;;1295.4;3314;False;0
aa3cbd;N759P   ;United States;1677688442.0;1677688459;-81.6069;41.3663;701.04;False;82.63;5.0;-3.25;;632.46;;False;0
a57b26;N452SM  ;United States;1677688588.0;1677688588;-105.134;39.9157;1859.28;False;36.64;308.16;2.93;;1805.94;;False;0
ac1c16;DOW88   ;United States;1677688588.0;1677688588;-92.5535;43.5157;7871.46;False;213.96;173.23;6.18;;7635.24;;False;0
a2e5ec;SKW3923 ;United States;1677688587.0;1677688587;-122.3136;47.4402;;True;0.0;180.0;;;;;False;0
a665aa;FSR511  ;United States;1677688587.0;1677688587;-88.459;37.5519;11887.2;False;245.3;3.37;0.33;;12077.7;7465;False;0
ade191;DAL2777 ;United States;1677688588.0;1677688588;-87.8646;33.8731;9753.6;False;196.76;284.07;0.33;;10088.88;;False;0
abd9d9;SWA617  ;United States;1677688587.0;1677688588;-97.8673;39.1538;10668.0;False;291.02;74.83;0.0;;10629.9;;False;0
a3b87f;DAL392  ;United States;1677688588.0;1677688588;-83.9894;34.0046;2720.34;False;135.55;235.83;-0.98;;2819.4;;False;0
39822c;FHARM   ;France;1677688564.0;1677688564;1.831;48.5723;548.64;False;60.2;179.02;-1.3;;609.6;;False;0
c07d20;JZA670  ;Canada;1677688586.0;1677688588;-64.2754;44.7165;5913.12;False;131.09;260.06;8.13;;5623.56;;False;0
a6184f;N492JA  ;United States;;1677688543;;;;False;41.24;183.58;0.0;;;;False;0
880458;AIQ533  ;Thailand;1677688524.0;1677688543;113.2711;22.2873;7376.16;False;174.03;272.37;8.13;;7795.26;;False;0
a678e5;JTZ516  ;United States;1677688587.0;1677688587;-103.1793;32.8422;13106.4;False;165.94;252.13;0.33;;13327.38;;False;0
a305fd;SKW3838 ;United States;1677688587.0;1677688588;-112.0197;40.3793;4968.24;False;183.45;330.06;-0.33;;4823.46;;False;0
880456;AIQ153  ;Thailand;1677688568.0;1677688568;83.0662;12.6286;9753.6;False;220.65;266.26;0.0;;10424.16;;False;0
aa56d8;UAL368  ;United States;1677688587.0;1677688588;-103.819;39.3499;6705.6;False;161.81;304.25;0.0;;6583.68;;False;0
4b1805;SWR734  ;Switzerland;1677688564.0;1677688586;8.5576;47.4535;388.62;True;0.0;5.62;;;;1000;False;0
a4d86a;LXJ411  ;United States;1677688587.0;1677688587;-81.704;26.4546;10561.32;False;253.17;169.58;-9.43;;11155.68;;False;0
aa56d4;UAL2619 ;United States;1677688587.0;1677688588;-85.6412;30.8526;9753.6;False;217.15;300.15;0.0;;10180.32;1302;False;0
4b1807;SWR7SC  ;Switzerland;1677688587.0;1677688588;2.8472;45.0065;11277.6;False;231.38;228.33;0.0;;11117.58;3071;False;0
